OBJECTID,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,NOM_LOC,pop_t,pop_m,pop_h,pob_nat,pob_for,pob_dis,pop_ssal,viv_t,viv_hab,H3,H4,TT,H5,H1,H2,inun_pluv,licuefacc,nivel-mar,tsunami,fallas_fra,inun_fluvi
"2769","1802000530501008","18","020","0053","0501","008",Urbana,Típica,Mezcales,"140","64","76","55","85","3","44","107","50",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7.057645754334933,99.999999999999986,0.000000000000000,53.053825791870572,0.000000000000000,0.000000000000000
"2770","1802000530501007","18","020","0053","0501","007",Urbana,Típica,Mezcales,"122","59","63","46","76","9","40","41","37",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,8.413229434234474,0.000000000000000,0.000000000000000
"2771","1802000530501006","18","020","0053","0501","006",Urbana,Típica,Mezcales,"17","5","12","5","12","0","6","5","4",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000014,0.000000000000000,2.863995870966245,0.000000000000000,0.000000000000000
"2775","1802000430200017","18","020","0043","0200","017",Urbana,Típica,Las Jarretaderas,"172","84","88","116","56","10","70","92","52",100.000000000000014,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000014,0.000000000000000,100.000000000000014,0.000000000000000,99.999999999999986
"2776","1802000430200012","18","020","0043","0200","012",Urbana,Típica,Las Jarretaderas,"315","158","157","88","227","6","97","106","84",12.100310586087314,0.000000000000000,0.575437578108144,0.000000000000000,55.557411979512892,31.766890183796516,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000
"2777","1802000431069009","18","020","0043","1069","009",Urbana,Típica,Las Jarretaderas,"0","0","0","0","0","0","0","0","0",3.176928822204780,96.823083559890549,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000
"2778","1802000431069008","18","020","0043","1069","008",Urbana,Típica,Las Jarretaderas,"0","0","0","0","0","0","0","0","0",0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000
"2779","1802000431069007","18","020","0043","1069","007",Urbana,Típica,Las Jarretaderas,"0","0","0","0","0","0","0","0","0",0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000
"2780","1802000430200001","18","020","0043","0200","001",Urbana,Típica,Las Jarretaderas,"106","56","50","36","69","4","43","36","28",100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000
"2785","1802000270817051","18","020","0027","0817","051",Urbana,Típica,Cruz de Huanacaxtle,"5","0","0","0","0","0","0","10","2",4.819736289067185,3.927397379372488,0.000000000000000,7.057082365818578,26.951394311765593,57.244419816182713,0.000000000000000,0.000000000000000,54.321961125221002,100.000000000000000,0.000000000000000,0.000000000000000
